日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）,,,,,,,,,,,,
2000年9月,"16,915.04","17,018.52","15,621.88","15,747.26","1,516.05","1,524.00","1,439.43","1,470.78",97.3 ,107.75,1.788,0.1,,2000年9月,,,,,,,,,,
2000年8月,"15,784.60","17,210.80","15,557.33","16,861.26","1,458.54","1,544.43","1,443.79","1,511.44",97.4 ,106.43,1.757,0.2,,2000年8月,,,,,,,,,,
2000年7月,"17,451.65","17,661.11","15,394.71","15,727.49","1,595.57","1,615.53","1,419.26","1,453.15",97.1 ,109.52,1.739,0.3,,2000年7月,,,,,,,,,,
2000年6月,"16,320.08","17,511.32","16,289.92","17,411.05","1,521.37","1,599.62","1,503.17","1,591.60",97.4 ,105.4,1.738,0.3,,2000年6月,,,,,,,,,,
2000年5月,"17,979.25","18,586.16","15,870.25","16,332.45","1,652.08","1,716.44","1,482.09","1,522.84",97.6 ,107.3,1.748,0.2,,2000年5月,,,,,,,,,,
2000年4月,"20,327.79","20,833.21","17,926.43","17,973.70","1,702.55","1,736.56","1,511.60","1,648.87",97.5 ,106.44,1.673,0.4,,2000年4月,,,,,,,,,,
2000年3月,"20,030.08","20,809.79","18,765.88","20,337.32","1,724.81","1,751.35","1,552.32","1,705.94",97.3 ,105.29,1.739,0.2,,2000年3月,,,,,,,,,,
2000年2月,"19,536.68","20,046.14","19,266.96","19,959.52","1,710.52","1,757.95","1,643.66","1,718.94",97.1 ,110.27,1.764,0,,2000年2月,,,,,,,,,,
2000年1月,"18,937.45","19,595.83","18,068.10","19,539.70","1,726.21","1,744.16","1,585.80","1,707.96",97.4 ,106.9,1.822,-0.1,,2000年1月,,,,,,,,,,
1999年12月,"18,563.26","18,960.33","18,006.32","18,934.34","1,638.56","1,722.41","1,583.10","1,722.20",97.5 ,102.08,1.792,-0.5,,1999年12月,,,,,,,,,,
1999年11月,"17,982.39","19,036.08","17,857.11","18,558.23","1,566.61","1,690.96","1,558.96","1,641.53",97.8 ,102.42,1.811,-0.5,,1999年11月,,,,,,,,,,
1999年10月,"17,589.73","18,228.39","17,178.47","17,942.08","1,506.33","1,566.30","1,453.67","1,563.89",98.4 ,104.89,1.77,-0.7,,1999年10月,,,,,,,,,,
1999年9月,"17,479.57","17,988.59","16,652.04","17,605.46","1,461.43","1,538.88","1,411.81","1,506.83",98.2 ,105.66,1.795,-1.2,,1999年9月,,,,,,,,,,
1999年8月,"17,827.24","18,397.93","17,040.72","17,436.56","1,475.43","1,529.80","1,415.39","1,457.02",97.9 ,110.19,1.819,-1.2,,1999年8月,,,,,,,,,,
1999年7月,"17,607.60","18,623.15","17,367.08","17,861.86","1,420.22","1,529.82","1,420.22","1,478.93",97.6 ,115.27,1.723,-1.4,,1999年7月,,,,,,,,,,
1999年6月,"16,090.15","17,958.34","16,026.95","17,529.74","1,297.21","1,440.81","1,294.20","1,416.20",98.0 ,120.87,1.718,-1.7,,1999年6月,,,,,,,,,,
1999年5月,"16,762.78","17,300.61","15,886.62","16,111.65","1,340.56","1,384.25","1,284.83","1,297.19",98.3 ,121.37,1.745,-1.6,,1999年5月,,,,,,,,,,
1999年4月,"15,868.05","17,166.06","15,813.41","16,701.53","1,269.52","1,363.15","1,269.52","1,337.12",98.3 ,119.59,1.747,-1.8,,1999年4月,,,,,,,,,,
1999年3月,"14,362.86","16,437.23","13,921.06","15,836.59","1,120.89","1,283.96","1,088.32","1,267.22",97.8 ,119.99,1.81,-1.9,,1999年3月,,,,,,,,,,
1999年2月,"14,544.12","14,641.41","13,769.25","14,367.54","1,127.72","1,131.71","1,075.87","1,120.03",97.7 ,120.32,1.877,-2.2,,1999年2月,,,,,,,,,,
1999年1月,"13,779.05","14,628.88","13,122.61","14,499.25","1,083.17","1,128.38","1,042.48","1,125.26",98.1 ,115.98,1.889,-2.4,,1999年1月,,,,,,,,,,
1998年12月,"14,821.53","15,011.09","13,657.03","13,842.17","1,139.55","1,148.32","1,072.32","1,086.99",98.6 ,115.2,1.87,-2.2,,1998年12月,,,,,,,,,,
1998年11月,"13,648.28","15,320.23","13,648.28","14,883.70","1,041.82","1,167.19","1,041.82","1,143.50",99.0 ,123.83,1.855,-2.2,,1998年11月,,,,,,,,,,
1998年10月,"13,377.24","14,742.44","12,787.90","13,564.51","1,040.83","1,107.35",974.35,"1,035.60",99.1 ,116.09,1.839,-2.1,,1998年10月,,,,,,,,,,
1998年9月,"13,979.82","15,294.26","13,406.39","13,406.39","1,097.96","1,149.09","1,043.07","1,043.57",98.4 ,135.72,1.873,-2,,1998年9月,,,,,,,,,,
1998年8月,"16,303.60","16,303.60","13,792.76","14,107.89","1,256.90","1,256.90","1,079.11","1,106.49",97.6 ,141.52,1.902,-2.1,,1998年8月,,,,,,,,,,
1998年7月,"15,852.10","16,756.89","15,739.76","16,378.97","1,232.04","1,290.48","1,222.94","1,262.04",97.7 ,143.79,1.869,-2.2,,1998年7月,,,,,,,,,,
1998年6月,"15,670.73","15,830.47","14,614.74","15,830.27","1,221.14","1,230.38","1,149.51","1,230.38",98.3 ,139.95,1.873,-2.1,,1998年6月,,,,,,,,,,
1998年5月,"15,656.14","15,972.88","15,020.05","15,670.78","1,221.96","1,240.73","1,183.23","1,221.49",98.7 ,138.72,1.906,-2.3,,1998年5月,,,,,,,,,,
1998年4月,"16,433.37","16,623.78","15,334.47","15,641.26","1,247.02","1,257.57","1,181.03","1,222.98",98.4 ,131.95,1.878,-2.3,,1998年4月,,,,,,,,,,
1998年3月,"16,901.00","17,352.35","16,178.22","16,527.17","1,276.85","1,304.37","1,234.00","1,251.70",98.2 ,133.39,1.92,-0.1,,1998年3月,,,,,,,,,,
1998年2月,"16,685.01","17,256.24","15,932.47","16,831.67","1,269.80","1,303.44","1,219.19","1,272.45",97.8 ,126.72,1.914,0.3,,1998年2月,,,,,,,,,,
1998年1月,"15,268.93","17,352.95","14,546.25","16,628.47","1,175.93","1,310.97","1,111.77","1,267.51",97.9 ,127.34,1.947,0.7,,1998年1月,,,,,,,,,,
1997年12月,"16,593.51","17,117.78","14,488.21","15,258.74","1,251.63","1,279.21","1,116.11","1,175.03",98.0 ,129.92,1.825,0.7,,1997年12月,,,,,,,,,,
1997年11月,"16,494.01","17,006.09","14,966.13","16,636.26","1,280.44","1,295.44","1,174.07","1,252.22",98.2 ,127.66,1.908,0.9,,1997年11月,,,,,,,,,,
1997年10月,"17,820.38","17,936.86","16,082.32","16,458.94","1,383.73","1,393.80","1,255.05","1,277.12",98.9 ,120.29,1.845,1.1,,1997年10月,,,,,,,,,,
1997年9月,"18,215.22","18,775.08","17,563.66","17,887.71","1,425.43","1,450.04","1,368.77","1,388.32",98.6 ,121.44,1.883,1.4,,1997年9月,,,,,,,,,,
1997年8月,"20,344.63","20,399.14","17,973.90","18,229.42","1,544.76","1,546.90","1,408.85","1,427.99",97.9 ,119.39,1.959,1.4,,1997年8月,,,,,,,,,,
1997年7月,"20,561.56","20,698.67","19,495.85","20,331.43","1,550.89","1,563.20","1,484.50","1,544.04",97.8 ,117.74,1.913,1.4,,1997年7月,,,,,,,,,,
1997年6月,"20,083.51","20,910.79","20,040.70","20,604.96","1,488.46","1,579.34","1,486.19","1,553.81",98.2 ,114.3,1.977,1.5,,1997年6月,,,,,,,,,,
1997年5月,"19,232.32","20,612.26","19,187.72","20,068.81","1,445.25","1,521.29","1,445.25","1,486.89",98.2 ,116.43,1.958,1.4,,1997年5月,,,,,,,,,,
1997年4月,"17,934.79","19,194.82","17,447.64","19,151.12","1,369.25","1,442.19","1,311.31","1,441.19",98.0 ,126.92,1.869,1.3,,1997年4月,,,,,,,,,,
1997年3月,"18,517.17","18,750.25","17,616.79","18,003.40","1,387.49","1,405.77","1,336.50","1,373.26",96.1 ,123.97,1.922,-0.8,,1997年3月,,,,,,,,,,
1997年2月,"18,307.95","19,229.49","17,792.47","18,557.00","1,372.25","1,444.73","1,337.78","1,390.59",96.0 ,120.88,1.957,-1,,1997年2月,,,,,,,,,,
1997年1月,"19,364.24","19,500.90","17,019.56","18,330.01","1,470.80","1,482.15","1,315.85","1,372.48",96.2 ,122.13,1.848,-1.2,,1997年1月,,,,,,,,,,
1996年12月,"21,034.94","21,067.68","18,819.92","19,361.35","1,563.51","1,564.80","1,437.77","1,470.94",96.3 ,115.98,1.972,-1.3,,1996年12月,,,,,,,,,,
1996年11月,"20,498.00","21,460.57","20,388.10","21,020.36","1,552.67","1,589.84","1,545.68","1,562.80",96.2 ,113.44,2.01,-1.5,,1996年11月,,,,,,,,,,
1996年10月,"21,532.54","21,788.58","20,449.99","20,466.86","1,625.96","1,626.65","1,550.33","1,550.55",96.5 ,113.27,1.967,-1.6,,1996年10月,,,,,,,,,,
1996年9月,"20,186.60","21,603.91","19,920.02","21,556.40","1,543.81","1,628.47","1,531.44","1,627.55",96.3 ,111.45,2.046,-1.8,,1996年9月,,,,,,,,,,
1996年8月,"20,665.19","21,398.01","20,092.24","20,166.90","1,582.04","1,618.06","1,537.23","1,543.49",95.9 ,108.4,2.108,-1.7,,1996年8月,,,,,,,,,,
1996年7月,"22,568.43","22,600.08","20,627.61","20,692.83","1,714.76","1,716.03","1,578.94","1,584.43",96.0 ,107.13,2.028,-1.7,,1996年7月,,,,,,,,,,
1996年6月,"21,970.56","22,750.70","21,588.52","22,530.75","1,681.22","1,725.64","1,653.35","1,712.45",96.1 ,109.88,2.146,-1.9,,1996年6月,,,,,,,,,,
1996年5月,"22,030.75","22,311.29","21,170.72","21,956.19","1,711.87","1,713.13","1,642.36","1,680.57",96.4 ,108.37,2.106,-1.7,,1996年5月,,,,,,,,,,
1996年4月,"21,451.07","22,347.87","21,349.68","22,041.30","1,640.36","1,719.39","1,640.11","1,712.42",96.2 ,104.29,2.033,-1.7,,1996年4月,,,,,,,,,,
1996年3月,"20,093.78","21,486.33","19,627.57","21,406.85","1,558.35","1,638.10","1,520.46","1,636.88",95.6 ,106.49,2.084,-1.6,,1996年3月,,,,,,,,,,
1996年2月,"20,806.36","21,156.77","19,878.91","20,125.37","1,613.59","1,631.62","1,545.27","1,560.46",95.4 ,104.58,2.068,-1.6,,1996年2月,,,,,,,,,,
1996年1月,"19,945.68","21,021.63","19,945.68","20,812.74","1,583.33","1,632.71","1,558.26","1,613.11",95.6 ,106.92,2.017,-1.5,,1996年1月,,,,,,,,,,
1995年12月,"18,752.19","20,023.52","18,695.89","19,868.15","1,483.63","1,586.57","1,482.39","1,577.70",95.7 ,102.91,2.087,-0.7,,1995年12月,,,,,,,,,,
1995年11月,"17,622.66","18,846.75","17,408.93","18,744.42","1,409.20","1,485.91","1,400.18","1,482.21",95.7 ,101.66,2.185,-0.7,,1995年11月,,,,,,,,,,
1995年10月,"17,921.38","18,547.43","17,337.19","17,654.64","1,438.29","1,471.03","1,388.43","1,411.14",96.0 ,101.9,2.211,-0.8,,1995年10月,,,,,,,,,,
1995年9月,"18,053.24","18,847.89","17,503.36","17,913.06","1,423.98","1,491.74","1,394.20","1,438.16",96.3 ,98.18,2.52,-0.9,,1995年9月,,,,,,,,,,
1995年8月,"16,644.74","18,299.71","16,274.34","18,117.22","1,333.26","1,455.78","1,310.16","1,427.58",95.7 ,97.46,2.54,-0.9,,1995年8月,,,,,,,,,,
1995年7月,"14,519.40","17,018.35","14,295.90","16,677.53","1,197.11","1,348.46","1,184.92","1,336.10",95.6 ,88.17,2.701,-0.8,,1995年7月,,,,,,,,,,
1995年6月,"15,480.57","16,015.93","14,376.08","14,517.40","1,256.53","1,287.43","1,181.68","1,196.99",96.1 ,84.77,2.859,-0.8,,1995年6月,,,,,,,,,,
1995年5月,"16,820.38","17,189.54","15,292.43","15,436.79","1,331.85","1,360.68","1,242.20","1,254.11",96.2 ,83.19,3.107,-0.7,,1995年5月,,,,,,,,,,
1995年4月,"16,079.64","17,110.40","15,256.06","16,806.75","1,303.10","1,346.00","1,243.79","1,331.82",96.0 ,83.77,3.296,-0.6,,1995年4月,,,,,,,,,,
1995年3月,"17,017.91","17,161.88","15,424.11","16,139.95","1,346.14","1,366.51","1,216.26","1,307.89",95.7 ,88.38,3.435,-0.7,,1995年3月,,,,,,,,,,
1995年2月,"18,646.92","18,868.93","16,518.46","17,053.43","1,463.87","1,472.33","1,302.08","1,348.39",95.8 ,96.93,3.472,-0.9,,1995年2月,,,,,,,,,,
1995年1月,"19,724.76","19,724.76","17,698.75","18,649.82","1,557.57","1,557.57","1,383.86","1,463.84",96.1 ,98.58,3.478,-1,,1995年1月,,,,,,,,,,
1994年12月,"19,061.21","19,833.22","18,822.56","19,723.06","1,520.38","1,561.84","1,493.27","1,559.09",96.1 ,99.83,3.493,-1,,1994年12月,,,,,,,,,,
1994年11月,"19,929.49","19,929.49","18,666.13","19,075.62","1,580.78","1,580.78","1,481.56","1,520.41",96.3 ,98.98,3.554,-1.2,,1994年11月,,,,,,,,,,
1994年10月,"19,579.72","20,176.64","19,487.70","19,989.60","1,577.32","1,609.99","1,563.73","1,584.66",96.6 ,97.37,3.466,-1.3,,1994年10月,,,,,,,,,,
1994年9月,"20,634.33","20,700.54","19,414.08","19,563.81","1,640.60","1,643.02","1,559.71","1,576.89",96.2 ,98.59,3.545,-1.3,,1994年9月,,,,,,,,,,
1994年8月,"20,422.18","20,875.78","20,271.35","20,628.53","1,636.52","1,666.73","1,626.76","1,640.39",95.9 ,99.57,3.56,-1.5,,1994年8月,,,,,,,,,,
1994年7月,"20,618.22","20,907.58","19,993.70","20,449.39","1,671.91","1,687.97","1,603.74","1,637.41",95.4 ,99.93,3.469,-1.7,,1994年7月,,,,,,,,,,
1994年6月,"20,988.90","21,573.21","20,168.53","20,643.93","1,683.86","1,712.73","1,636.07","1,673.32",95.9 ,98.95,3.552,-1.7,,1994年6月,,,,,,,,,,
1994年5月,"19,648.53","21,048.61","19,488.90","20,973.59","1,598.59","1,689.35","1,589.34","1,682.50",96.3 ,104.38,3.611,-1.9,,1994年5月,,,,,,,,,,
1994年4月,"19,161.63","20,494.60","18,896.48","19,725.25","1,566.55","1,655.17","1,548.63","1,603.33",96.2 ,102.38,3.475,-2,,1994年4月,,,,,,,,,,
1994年3月,"20,052.61","20,781.98","19,082.82","19,111.92","1,634.07","1,658.55","1,559.19","1,563.21",96.0 ,102.8,3.582,-2,,1994年3月,,,,,,,,,,
1994年2月,"20,256.33","20,526.45","18,768.98","19,997.20","1,630.86","1,648.26","1,534.65","1,631.71",95.5 ,104.3,3.653,-2,,1994年2月,,,,,,,,,,
1994年1月,"17,421.64","20,229.12","17,242.32","20,229.12","1,439.81","1,629.22","1,430.22","1,629.22",95.5 ,109.55,3.661,-2.1,,1994年1月,,,,,,,,,,
1993年12月,"16,449.94","18,052.21","16,216.82","17,417.24","1,377.23","1,498.51","1,377.23","1,439.31",95.4 ,111.89,3.861,-2.1,,1993年12月,,,,,,,,,,
1993年11月,"19,656.97","19,656.97","15,671.97","16,406.54","1,628.01","1,629.06","1,331.12","1,374.06",95.4 ,108.82,4.043,-2,,1993年11月,,,,,,,,,,
1993年10月,"20,096.61","20,529.55","19,443.54","19,702.97","1,624.02","1,678.44","1,600.05","1,630.59",95.9 ,108.23,3.861,-1.9,,1993年10月,,,,,,,,,,
1993年9月,"20,964.10","21,281.03","19,927.69","20,105.71","1,690.93","1,708.06","1,609.73","1,626.25",96.0 ,105.1,4.043,-1.9,,1993年9月,,,,,,,,,,
1993年8月,"20,392.74","21,029.70","20,231.32","21,026.60","1,659.21","1,694.86","1,639.92","1,693.09",95.9 ,104.18,,-1.7,,1993年8月,,,,,,,,,,
1993年7月,"19,638.79","20,545.75","19,545.45","20,380.14","1,582.10","1,665.83","1,580.95","1,659.91",95.6 ,105.6,,-1.6,,1993年7月,,,,,,,,,,
1993年6月,"20,531.87","21,222.77","19,039.55","19,590.00","1,636.20","1,686.78","1,524.20","1,580.25",95.4 ,106.51,,-1.5,,1993年6月,,,,,,,,,,
1993年5月,"20,939.46","21,224.78","20,122.78","20,552.35","1,623.30","1,664.00","1,586.39","1,636.60",95.4 ,107.45,,-1.3,,1993年5月,,,,,,,,,,
1993年4月,"18,595.52","20,919.18","18,526.65","20,919.18","1,432.36","1,622.19","1,424.10","1,620.79",95.4 ,111.1,,-1.2,,1993年4月,,,,,,,,,,
1993年3月,"16,956.46","19,126.38","16,721.48","18,591.45","1,283.99","1,460.66","1,262.48","1,431.87",94.7 ,115.35,,-1.2,,1993年3月,,,,,,,,,,
1993年2月,"17,037.52","17,419.18","16,750.88","16,953.35","1,299.26","1,315.98","1,273.67","1,284.21",94.5 ,117.85,,-1.1,,1993年2月,,,,,,,,,,
1993年1月,"16,980.23","17,177.69","16,216.11","17,023.78","1,309.82","1,309.82","1,245.50","1,298.88",94.4 ,124.3,,-1,,1993年1月,,,,,,,,,,
1992年12月,"17,675.03","17,787.56","16,891.94","16,924.95","1,322.84","1,353.85","1,298.12","1,307.66",94.5 ,124.65,,-1,,1992年12月,,,,,,,,,,
1992年11月,"16,732.50","17,683.65","15,941.93","17,683.65","1,276.05","1,323.35","1,217.35","1,323.35",94.5 ,124.75,,-1.1,,1992年11月,,,,,,,,,,
1992年10月,"17,422.47","17,714.04","16,675.23","16,767.40","1,312.14","1,333.30","1,273.94","1,278.91",94.6 ,123.35,,-1,,1992年10月,,,,,,,,,,
1992年9月,"18,058.11","19,284.12","17,396.43","17,399.08","1,384.60","1,441.36","1,308.90","1,310.60",94.6 ,119.25,,-0.8,,1992年9月,,,,,,,,,,
1992年8月,"15,902.75","18,168.81","14,194.40","18,061.12","1,218.93","1,389.72","1,096.99","1,385.51",94.1 ,123.42,,-0.9,,1992年8月,,,,,,,,,,
1992年7月,"15,960.56","17,274.49","15,024.59","15,910.28","1,236.76","1,306.36","1,168.83","1,219.25",93.8 ,127.3,,-0.8,,1992年7月,,,,,,,,,,
1992年6月,"18,327.68","18,502.61","15,641.61","15,951.73","1,375.22","1,381.94","1,220.77","1,236.20",94.6 ,125.55,,-0.9,,1992年6月,,,,,,,,,,
1992年5月,"17,374.95","19,003.61","17,273.38","18,347.75","1,315.71","1,408.78","1,310.49","1,376.32",94.6 ,128.33,,-1,,1992年5月,,,,,,,,,,
1992年4月,"19,325.47","19,325.47","16,572.46","17,390.71","1,418.49","1,418.49","1,196.19","1,317.46",94.6 ,133.38,,-0.9,,1992年4月,,,,,,,,,,
1992年3月,"21,348.13","21,550.86","19,343.34","19,345.95","1,556.05","1,564.95","1,396.44","1,418.52",93.6 ,133.05,,-0.8,,1992年3月,,,,,,,,,,
1992年2月,"22,075.86","22,373.08","20,485.72","21,338.81","1,633.97","1,640.26","1,514.97","1,554.49",93.1 ,129.33,,-0.7,,1992年2月,,,,,,,,,,
1992年1月,"23,030.66","23,901.89","20,638.04","22,023.05","1,719.13","1,764.50","1,558.51","1,630.94",93.2 ,125.78,,-0.6,,1992年1月,,,,,,,,,,
1991年12月,"22,645.52","23,022.35","21,123.90","22,983.77","1,728.51","1,730.20","1,630.10","1,714.68",93.4 ,125.25,,-0.4,,1991年12月,,,,,,,,,,
1991年11月,"25,167.13","25,167.13","22,538.33","22,687.35","1,884.14","1,885.08","1,720.74","1,731.30",93.8 ,130.07,,-0.2,,1991年11月,,,,,,,,,,
1991年10月,"23,909.75","25,254.80","23,860.67","25,222.28","1,831.32","1,893.63","1,827.39","1,887.45",93.7 ,131,,0.1,,1991年10月,,,,,,,,,,
1991年9月,"22,328.85","24,157.61","22,175.05","23,916.44","1,732.49","1,838.13","1,725.92","1,832.20",92.7 ,132.95,,0.5,,1991年9月,,,,,,,,,,
1991年8月,"24,074.31","24,084.31","21,309.48","22,335.87","1,856.17","1,856.17","1,657.15","1,732.10",92.5 ,136.88,,1,,1991年8月,,,,,,,,,,
1991年7月,"23,376.53","24,322.44","21,731.15","24,120.75","1,824.05","1,878.62","1,695.87","1,859.12",92.3 ,137.83,,1.2,,1991年7月,,,,,,,,,,
1991年6月,"25,840.91","26,017.16","23,214.57","23,290.96","1,967.37","1,971.98","1,811.01","1,819.01",92.4 ,138.15,,1.4,,1991年6月,,,,,,,,,,
1991年5月,"26,193.61","26,648.58","25,227.64","25,789.62","1,969.89","2,008.34","1,920.96","1,964.77",92.8 ,137.97,,1.6,,1991年5月,,,,,,,,,,
1991年4月,"26,237.79","27,092.02","25,913.60","26,111.25","1,967.46","2,033.51","1,948.66","1,963.42",92.3 ,137.42,,1.5,,1991年4月,,,,,,,,,,
1991年3月,"26,389.25","27,270.33","25,785.97","26,292.04","1,958.74","2,034.66","1,920.63","1,970.73",91.8 ,140.55,,1.6,,1991年3月,,,,,,,,,,
1991年2月,"23,270.63","26,709.80","22,859.65","26,409.22","1,708.34","1,982.73","1,687.65","1,960.32",91.3 ,131.95,,1.7,,1991年2月,,,,,,,,,,
1991年1月,"23,827.48","24,109.89","22,099.52","23,293.14","1,732.44","1,749.05","1,625.00","1,710.93",91.6 ,131.4,,1.6,,1991年1月,,,,,,,,,,
1990年12月,,,,,,,,,91.0 ,135.4,,2.3,,1990年12月,,,,,,,,,,
1990年11月,,,,,,,,,91.1 ,132.75,,2.2,,1990年11月,,,,,,,,,,
1990年10月,,,,,,,,,91.2 ,129.35,,1.8,,1990年10月,,,,,,,,,,
1990年9月,,,,,,,,,90.2 ,137.95,,1.1,,1990年9月,,,,,,,,,,
1990年8月,,,,,,,,,89.5 ,144.5,,0.6,,1990年8月,,,,,,,,,,
1990年7月,,,,,,,,,89.2 ,147.5,,0.5,,1990年7月,,,,,,,,,,
1990年6月,,,,,,,,,89.4 ,152.85,,0.5,,1990年6月,,,,,,,,,,
1990年5月,,,,,,,,,89.7 ,151.75,,0.6,,1990年5月,,,,,,,,,,
1990年4月,,,,,,,,,89.3 ,159.08,,0.7,,1990年4月,,,,,,,,,,
1990年3月,,,,,,,,,88.5 ,157.65,,2.5,,1990年3月,,,,,,,,,,
1990年2月,,,,,,,,,88.2 ,148.52,,2.5,,1990年2月,,,,,,,,,,
1990年1月,,,,,,,,,88.1 ,144.4,,2.6,,1990年1月,,,,,,,,,,
1989年12月,,,,,,,,,87.7 ,143.4,,2.5,,1989年12月,,,,,,,,,,
1989年11月,,,,,,,,,87.6 ,142.9,,2.5,,1989年11月,,,,,,,,,,
1989年10月,,,,,,,,,88.5 ,142.15,,2.6,,1989年10月,,,,,,,,,,
1989年9月,,,,,,,,,87.9 ,139.35,,2.7,,1989年9月,,,,,,,,,,
1989年8月,,,,,,,,,87.1 ,144.28,,2.8,,1989年8月,,,,,,,,,,
1989年7月,,,,,,,,,87.2 ,138.4,,2.7,,1989年7月,,,,,,,,,,
1989年6月,,,,,,,,,87.4 ,143.95,,2.5,,1989年6月,,,,,,,,,,
1989年5月,,,,,,,,,87.4 ,142.7,,2.5,,1989年5月,,,,,,,,,,
1989年4月,,,,,,,,,86.9 ,132.49,,2.2,,1989年4月,,,,,,,,,,
1989年3月,,,,,,,,,85.4 ,132.55,,0.1,,1989年3月,,,,,,,,,,
1989年2月,,,,,,,,,85.0 ,127.15,,0,,1989年2月,,,,,,,,,,
1989年1月,,,,,,,,,85.3 ,129.13,,-0.4,,1989年1月,,,,,,,,,,
1988年12月,,,,,,,,,85.4 ,125.9,,-1,,1988年12月,,,,,,,,,,
1988年11月,,,,,,,,,85.7 ,121.85,,-1.1,,1988年11月,,,,,,,,,,
1988年10月,,,,,,,,,86.0 ,125,,-1.1,,1988年10月,,,,,,,,,,
1988年9月,,,,,,,,,85.6 ,134.3,,-0.9,,1988年9月,,,,,,,,,,
1988年8月,,,,,,,,,84.9 ,134.97,,-0.8,,1988年8月,,,,,,,,,,
1988年7月,,,,,,,,,84.7 ,132.53,,-0.4,,1988年7月,,,,,,,,,,
1988年6月,,,,,,,,,84.8 ,132.2,,-0.2,,1988年6月,,,,,,,,,,
1988年5月,,,,,,,,,85.0 ,124.8,,-0.2,,1988年5月,,,,,,,,,,
1988年4月,,,,,,,,,84.9 ,124.82,,-0.2,,1988年4月,,,,,,,,,,
1988年3月,,,,,,,,,84.5 ,124.5,,-0.2,,1988年3月,,,,,,,,,,
1988年2月,,,,,,,,,84.2 ,128.12,,-0.1,,1988年2月,,,,,,,,,,
1988年1月,,,,,,,,,84.3 ,127.18,,-0.1,,1988年1月,,,,,,,,,,
1987年12月,,,,,,,,,84.6 ,122,,0,,1987年12月,,,,,,,,,,
1987年11月,,,,,,,,,84.7 ,132.45,,0,,1987年11月,,,,,,,,,,
1987年10月,,,,,,,,,85.1 ,138.55,,-0.2,,1987年10月,,,,,,,,,,
1987年9月,,,,,,,,,85.1 ,146.35,,-1.2,,1987年9月,,,,,,,,,,
1987年8月,,,,,,,,,84.3 ,142.35,,-2.2,,1987年8月,,,,,,,,,,
1987年7月,,,,,,,,,84.3 ,149.25,,-2.9,,1987年7月,,,,,,,,,,
1987年6月,,,,,,,,,84.7 ,146.75,,-3.8,,1987年6月,,,,,,,,,,
1987年5月,,,,,,,,,84.8 ,144.15,,-4.6,,1987年5月,,,,,,,,,,
1987年4月,,,,,,,,,84.7 ,139.65,,-4.8,,1987年4月,,,,,,,,,,
1987年3月,,,,,,,,,83.9 ,145.65,,-5.4,,1987年3月,,,,,,,,,,
1987年2月,,,,,,,,,83.6 ,153.15,,-5.8,,1987年2月,,,,,,,,,,
1987年1月,,,,,,,,,83.6 ,152.3,,-6.1,,1987年1月,,,,,,,,,,
1986年12月,,,,,,,,,83.9 ,160.1,,-5.8,,1986年12月,,,,,,,,,,
1986年11月,,,,,,,,,84.1 ,162.2,,-5.9,,1986年11月,,,,,,,,,,
1986年10月,,,,,,,,,84.5 ,161.45,,-6,,1986年10月,,,,,,,,,,
1986年9月,,,,,,,,,84.4 ,153.63,,-5.6,,1986年9月,,,,,,,,,,
1986年8月,,,,,,,,,84.0 ,156.05,,-5.1,,1986年8月,,,,,,,,,,
1986年7月,,,,,,,,,84.2 ,154.15,,-4.9,,1986年7月,,,,,,,,,,
1986年6月,,,,,,,,,84.4 ,163.95,,-4.5,,1986年6月,,,,,,,,,,
1986年5月,,,,,,,,,84.8 ,172.05,,-4.1,,1986年5月,,,,,,,,,,
1986年4月,,,,,,,,,84.6 ,168.1,,-4.3,,1986年4月,,,,,,,,,,
1986年3月,,,,,,,,,84.3 ,179.65,,-3.6,,1986年3月,,,,,,,,,,
1986年2月,,,,,,,,,84.4 ,180.45,,-3.6,,1986年2月,,,,,,,,,,
1986年1月,,,,,,,,,84.5 ,192.65,,-3.1,,1986年1月,,,,,,,,,,
1985年12月,,,,,,,,,84.2 ,200.6,,-2,,1985年12月,,,,,,,,,,
1985年11月,,,,,,,,,84.1 ,202.05,,-1.8,,1985年11月,,,,,,,,,,
1985年10月,,,,,,,,,84.8 ,211.8,,-1.5,,1985年10月,,,,,,,,,,
1985年9月,,,,,,,,,84.0 ,216,,-1.3,,1985年9月,,,,,,,,,,
1985年8月,,,,,,,,,83.9 ,237.1,,-1,,1985年8月,,,,,,,,,,
1985年7月,,,,,,,,,84.1 ,236.65,,-0.8,,1985年7月,,,,,,,,,,
1985年6月,,,,,,,,,83.9 ,248.95,,-0.6,,1985年6月,,,,,,,,,,
1985年5月,,,,,,,,,83.9 ,251.78,,-0.6,,1985年5月,,,,,,,,,,
1985年4月,,,,,,,,,83.8 ,251.4,,-0.3,,1985年4月,,,,,,,,,,
1985年3月,,,,,,,,,83.2 ,250.7,,-0.3,,1985年3月,,,,,,,,,,
1985年2月,,,,,,,,,82.9 ,259,,0,,1985年2月,,,,,,,,,,
1985年1月,,,,,,,,,83.2 ,254.78,,0.1,,1985年1月,,,,,,,,,,
