日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）,,,,,,,,,,,,
2022年3月,"26,836.74","28,338.81","24,681.74","27,821.43","1,903.34","1,994.32","1,755.14","1,946.40",101.1 ,121.64,0.527,9.5,,2022年3月,,,,,,,,,,
2022年2月,"27,167.14","27,880.70","25,775.64","26,526.82","1,907.08","1,969.73","1,843.38","1,886.93",100.7 ,115.5,0.69,9.5,,2022年2月,,,,,,,,,,
2022年1月,"29,098.41","29,388.16","26,044.52","27,001.98","2,015.61","2,042.00","1,835.26","1,895.93",100.3 ,115.43,0.655,9.2,,2022年1月,,,,,,,,,,
2021年12月,"27,866.73","29,121.01","27,588.61","28,791.71","1,930.88","2,014.43","1,914.93","1,992.33",100.1 ,115.12,0.584,8.6,,2021年12月,,,,,,,,,,
2021年11月,"29,330.68","29,960.93","27,819.14","27,821.76","2,027.27","2,062.81","1,928.35","1,928.35",100.1 ,113.19,0.618,9.1,,2021年11月,,,,,,,,,,
2021年10月,"29,235.11","29,489.11","27,293.62","28,892.69","2,010.40","2,041.71","1,927.66","2,001.18",99.9 ,113.61,0.658,8.2,,2021年10月,,,,,,,,,,
2021年9月,"28,179.04","30,795.78","28,179.04","29,452.66","1,965.74","2,120.18","1,965.54","2,030.16",100.1 ,111.88,0.585,6.2,,2021年9月,,,,,,,,,,
2021年8月,"27,493.32","28,279.80","26,954.81","28,089.54","1,917.65","1,970.38","1,877.38","1,960.70",99.7 ,109.82,0.57,5.7,,2021年8月,,,,,,,,,,
2021年7月,"28,832.41","28,852.31","27,272.49","27,283.59","1,949.20","1,973.35","1,881.01","1,901.08",99.7 ,109.53,0.635,5.6,,2021年7月,,,,,,,,,,
2021年6月,"28,998.65","29,480.85","27,795.86","28,791.53","1,930.74","1,983.13","1,890.15","1,943.57",99.5 ,110.55,0.465,5,,2021年6月,,,,,,,,,,
2021年5月,"29,024.01","29,685.41","27,385.03","28,860.08","1,919.10","1,955.51","1,845.72","1,922.98",99.4 ,109.72,0.608,5,,2021年5月,,,,,,,,,,
2021年4月,"29,441.91","30,208.89","28,419.84","28,812.63","1,971.78","1,989.09","1,879.68","1,898.24",99.1 ,108.89,0.644,3.8,,2021年4月,,,,,,,,,,
2021年3月,"29,419.45","30,485.00","28,308.57","29,178.80","1,888.61","2,013.71","1,859.88","1,954.00",99.9 ,110.74,0.645,1,,2021年3月,,,,,,,,,,
2021年2月,"27,649.07","30,714.52","27,649.07","28,966.01","1,806.63","1,974.99","1,806.63","1,864.49",99.8 ,106.09,0.536,-0.9,,2021年2月,,,,,,,,,,
2021年1月,"27,575.57","28,979.53","27,002.18","27,663.39","1,810.45","1,885.93","1,776.60","1,808.78",99.8 ,104.55,0.658,-1.8,,2021年1月,,,,,,,,,,
2020年12月,"26,624.20","27,602.52","26,327.08","27,444.17","1,765.55","1,819.46","1,751.63","1,804.68",99.3 ,103.33,0.494,-2.1,,2020年12月,,,,,,,,,,
2020年11月,"23,110.74","26,834.20","23,096.79","26,433.62","1,592.16","1,792.97","1,591.49","1,754.92",99.5 ,104.03,0.761,-2.4,,2020年11月,,,,,,,,,,
2020年10月,"23,185.12","23,725.58","22,948.47","22,977.13","1,625.49","1,660.49","1,577.45","1,579.33",99.8 ,104.36,0.785,-2.2,,2020年10月,,,,,,,,,,
2020年9月,"23,089.63","23,622.74","22,878.71","23,185.12","1,613.64","1,665.90","1,593.89","1,625.49",99.9 ,105.62,0.68,-0.8,,2020年9月,,,,,,,,,,
2020年8月,"21,947.58","23,431.04","21,919.83","23,139.76","1,510.23","1,636.57","1,508.13","1,618.18",100.1 ,105.83,0.748,-0.6,,2020年8月,,,,,,,,,,
2020年7月,"22,338.30","22,965.56","21,710.00","21,710.00","1,562.30","1,590.62","1,496.06","1,496.06",100.0 ,104.45,0.689,-0.9,,2020年7月,,,,,,,,,,
2020年6月,"21,910.89","23,185.85","21,529.83","22,288.14","1,563.81","1,633.40","1,530.78","1,558.77",99.9 ,107.73,0.469,-1.6,,2020年6月,,,,,,,,,,
2020年5月,"19,991.97","21,955.44","19,448.93","21,877.89","1,452.46","1,578.50","1,418.88","1,563.67",100.1 ,107.21,0.544,-2.7,,2020年5月,,,,,,,,,,
2020年4月,"18,686.12","20,365.89","17,646.50","20,193.69","1,388.66","1,478.84","1,314.11","1,464.03",100.2 ,106.6,0.671,-2.4,,2020年4月,,,,,,,,,,
2020年3月,"20,849.79","21,719.78","16,358.19","18,917.01","1,488.96","1,551.99","1,199.25","1,403.04",100.3 ,108.42,0.639,-0.4,,2020年3月,,,,,,,,,,
2020年2月,"22,874.27","23,995.37","20,916.40","21,142.96","1,660.66","1,744.43","1,500.87","1,510.87",100.3 ,108.84,0.599,0.7,,2020年2月,,,,,,,,,,
2020年1月,"23,319.76","24,115.95","22,892.95","23,205.18","1,699.60","1,745.95","1,667.30","1,684.44",100.5 ,109.04,0.71,1.5,,2020年1月,,,,,,,,,,
2019年12月,"23,388.63","24,091.12","23,044.78","23,656.62","1,705.99","1,747.20","1,691.15","1,721.36",100.5 ,109.15,0.567,0.9,,2019年12月,,,,,,,,,,
2019年11月,"22,730.49","23,608.06","22,705.60","23,293.91","1,653.80","1,719.57","1,653.72","1,699.36",100.5 ,109.5,0.685,0.1,,2019年11月,,,,,,,,,,
2019年10月,"21,831.44","23,008.43","21,276.01","22,927.04","1,595.35","1,669.91","1,560.83","1,667.01",100.4 ,108.61,0.665,-0.4,,2019年10月,,,,,,,,,,
2019年9月,"20,625.75","22,255.56","20,554.16","21,755.84","1,506.12","1,635.88","1,501.11","1,587.80",100.1 ,107.86,0.658,-1.1,,2019年9月,,,,,,,,,,
2019年8月,"21,361.58","21,556.69","20,110.76","20,704.37","1,556.12","1,568.41","1,462.41","1,511.86",100.0 ,106.52,0.727,-0.9,,2019年8月,,,,,,,,,,
2019年7月,"21,566.27","21,823.07","20,993.44","21,521.53","1,573.09","1,593.50","1,531.31","1,565.14",99.8 ,108.56,0.753,-0.7,,2019年7月,,,,,,,,,,
2019年6月,"20,327.87","21,497.82","20,289.64","21,275.92","1,491.54","1,563.45","1,490.28","1,551.14",99.8 ,107.64,0.576,-0.2,,2019年6月,,,,,,,,,,
